epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1812.66,1.16579,0.81736,1.35146,0.82799,0.80418,0.82772,0.46566,1.8545,1.34468,1.91885,0.00033032,0.00033032,0.00033032
43,1853.36,1.17025,0.79945,1.32635,0.88237,0.8088,0.85456,0.4714,1.81585,1.22252,1.91094,0.000324815,0.000324815,0.000324815
44,1894.4,1.12485,0.75582,1.31057,0.78106,0.81696,0.83399,0.49429,1.75836,1.31948,1.88152,0.000319311,0.000319311,0.000319311
45,1935.89,1.13192,0.77752,1.31425,0.81974,0.81264,0.84001,0.49588,1.80443,1.27611,1.94667,0.000313806,0.000313806,0.000313806
46,1978.25,1.13967,0.76949,1.32106,0.84908,0.77311,0.83112,0.47896,1.85828,1.35093,1.94388,0.000308302,0.000308302,0.000308302
47,2018.7,1.137,0.7636,1.3159,0.84794,0.81883,0.84394,0.47849,1.8192,1.29121,1.91894,0.000302798,0.000302798,0.000302798
48,2059.57,1.12901,0.72546,1.31713,0.86191,0.80054,0.85356,0.4847,1.75636,1.24604,1.87186,0.000297293,0.000297293,0.000297293
49,2101,1.10298,0.73783,1.29185,0.86141,0.78925,0.8355,0.48421,1.79788,1.24579,1.91027,0.000291789,0.000291789,0.000291789
50,2142.74,1.10671,0.72169,1.29201,0.81648,0.81806,0.85287,0.51465,1.69177,1.18816,1.81089,0.000286284,0.000286284,0.000286284
51,2184.87,1.08071,0.70402,1.27659,0.79268,0.83764,0.84462,0.48386,1.81248,1.27545,1.90658,0.00028078,0.00028078,0.00028078
52,2226.05,1.08493,0.71427,1.27499,0.86912,0.79897,0.83328,0.47731,1.78204,1.24229,1.93655,0.000275276,0.000275276,0.000275276
53,2267.21,1.05477,0.69446,1.26162,0.86926,0.78518,0.82082,0.47679,1.81088,1.32717,1.95826,0.000269771,0.000269771,0.000269771
54,2309.07,1.05005,0.67649,1.26364,0.83756,0.81263,0.84413,0.49069,1.7172,1.31884,1.82526,0.000264267,0.000264267,0.000264267
55,2349.42,1.04015,0.6738,1.2486,0.84401,0.83504,0.84901,0.48928,1.78427,1.29561,1.95816,0.000258762,0.000258762,0.000258762
56,2390.08,1.04635,0.66959,1.25687,0.88072,0.76025,0.81672,0.45127,1.79736,1.37555,1.95731,0.000253258,0.000253258,0.000253258
57,2433.35,1.02889,0.66277,1.25521,0.82956,0.81736,0.84139,0.49422,1.70674,1.22614,1.84808,0.000247754,0.000247754,0.000247754
58,2475.44,1.00904,0.64491,1.23462,0.89561,0.82018,0.86756,0.51667,1.71678,1.2278,1.88648,0.000242249,0.000242249,0.000242249
59,2519.32,0.9877,0.63394,1.2153,0.90198,0.8017,0.85397,0.49484,1.73846,1.27246,1.8882,0.000236745,0.000236745,0.000236745
60,2561.1,1.0126,0.63957,1.23416,0.87594,0.78956,0.85905,0.4949,1.76224,1.2085,1.95938,0.00023124,0.00023124,0.00023124
61,2602.47,1.0022,0.63987,1.23191,0.89443,0.81247,0.85459,0.48806,1.71496,1.20512,1.89577,0.000225736,0.000225736,0.000225736
62,2646.38,0.95329,0.60234,1.19104,0.84982,0.79843,0.8334,0.4738,1.77764,1.4127,1.94266,0.000220232,0.000220232,0.000220232
63,2689.04,0.96395,0.62162,1.20026,0.83592,0.81392,0.83078,0.47246,1.78723,1.3122,1.94,0.000214727,0.000214727,0.000214727
64,2731.44,0.93444,0.59611,1.18151,0.81573,0.83164,0.84085,0.47758,1.75155,1.19104,1.94033,0.000209223,0.000209223,0.000209223
65,2774.36,0.95726,0.59511,1.19069,0.85228,0.82709,0.85128,0.49358,1.76448,1.18491,1.96146,0.000203718,0.000203718,0.000203718
